costo,nombre,precio_venta,referencia_interna,unidad_medida,categoria_producto,archivo_imagen,imagen_url
0.0,12 BTNS IP MDL PR VIDOPRTR,290.0,HK-DS-KD-KP,Unidades,VIDEO PORTERO,HK-DS-KD-KP.jpg,http://localhost:3000/uploads/HK-DS-KD-KP.jpg
0.0,12/100 Ah BATERIA DE LITIO PYLONTECH,2100.0,,Unidades,BATERIAS,12_100_Ah_BATERIA_DE_LITIO_PYLONTECH.jpg,http://localhost:3000/uploads/12_100_Ah_BATERIA_DE_LITIO_PYLONTECH.jpg
0.0,12/24V 100A SMART BATERY PROTEC,450.0,,Unidades,ALARMA RISCO,12_24V_100A_SMART_BATERY_PROTEC.jpg,http://localhost:3000/uploads/12_24V_100A_SMART_BATERY_PROTEC.jpg
83.0,12/24V 10A  PWM Light BLUESOLAR,130.0,PWM-Light 10A,Unidades,CONTROLADORES,PWM-Light_10A.jpg,http://localhost:3000/uploads/PWM-Light_10A.jpg
130.0,12/24V 10A PWM PRO BLUESOLAR,210.0,12/24V 10A,Unidades,CONTROLADORES,12_24V_10A.jpg,http://localhost:3000/uploads/12_24V_10A.jpg
137.0,12/24V 20A PWM LCD USB BLUESOLAR,250.0,PWM/20A,Unidades,CONTROLADORES,PWM_20A.jpg,http://localhost:3000/uploads/PWM_20A.jpg
111.0,12/24V 20A PWM Light BLUESOLAR,150.0,PWM-Light 20A,Unidades,CONTROLADORES,PWM-Light_20A.jpg,http://localhost:3000/uploads/PWM-Light_20A.jpg
186.0,12/24V 30A  PWM-LCD USB BLUESOLAR,282.0,PWM / 30A,Unidades,CONTROLADORES,PWM_30A.jpg,http://localhost:3000/uploads/PWM_30A.jpg
200.0,12/24V 65A SMART BATERY PROTEC,380.0,,Unidades,BATERIAS,12_24V_65A_SMART_BATERY_PROTEC.jpg,http://localhost:3000/uploads/12_24V_65A_SMART_BATERY_PROTEC.jpg
337.0,12/250 INVERSOR,500.0,12 / 250 230V,Unidades,INVERSORES,12_250_230V.jpg,http://localhost:3000/uploads/12_250_230V.jpg
500.0,12/375 INVERSOR ONDA PURA -VICTRON ENERGY,648.0,,Unidades,INVERSORES,12_375_INVERSOR_ONDA_PURA_-VICTRON_ENERGY.jpg,http://localhost:3000/uploads/12_375_INVERSOR_ONDA_PURA_-VICTRON_ENERGY.jpg
0.0,12/500 INVERSOR,680.0,,Unidades,INVERSORES,12_500_INVERSOR.jpg,http://localhost:3000/uploads/12_500_INVERSOR.jpg
1473.0,12/500 MULTIPLUS,1050.0,12 / 500 230V,Unidades,INVERSORES,12_500_230V.jpg,http://localhost:3000/uploads/12_500_230V.jpg
2083.0,12/800 MULTIPLUS,2395.0,12 / 800 230V,Unidades,INVERSORES,12_800_230V.jpg,http://localhost:3000/uploads/12_800_230V.jpg
55.0,128GB MICROSD PURPLE WD,70.0,WD-MICROSD-128GB,Unidades,HDD,WD-MICROSD-128GB.jpg,http://localhost:3000/uploads/WD-MICROSD-128GB.jpg
1100.0,12V  100AH BATERIA LITIO  FELICITY,1300.0,,Unidades,BATERIAS,12V_100AH_BATERIA_LITIO_FELICITY.jpg,http://localhost:3000/uploads/12V_100AH_BATERIA_LITIO_FELICITY.jpg
310.0,12V 1000W INVERSOR ONDA MODIFICADA -OPALUX,380.0,,Unidades,INVERSORES,12V_1000W_INVERSOR_ONDA_MODIFICADA_-OPALUX.jpg,http://localhost:3000/uploads/12V_1000W_INVERSOR_ONDA_MODIFICADA_-OPALUX.jpg
894.25,12V 100AH BATERIA LITIO,1680.0,,Unidades,BATERIAS,12V_100AH_BATERIA_LITIO.jpg,http://localhost:3000/uploads/12V_100AH_BATERIA_LITIO.jpg
